Carbon_dioxide,CO2,33,363.803,558.261,186.001,165.476,41.586,76.668
Methane,CH4,32.126,1.530,0.371,0.219,0.059,0.132
Nitrous_oxide,N2O,3.526,0.129,0.031,0.016,0.005,0.011
Sulfur_dioxide,SO2,4.103,0.690,0.431,0.630,0.107,0.152
Nitrogen_oxides,NOX,0.149,0.371,0.097,0.089,0.017,0.036
Carbon_monoxide,CO,0.457,0.571,0.165,0.106,0.025,0.046
Organic_compounds,NMVOC,13.848,0.286,0.070,0.036,0.012,0.029
Dust_particles,PM,1.232,0.074,0.055,0.068,0.010,0.014
Greenhouse_gases,GHG,2131.379,630.364,203.533,175.135,44.363,82.822
Acid_deposition,ACG,3.021,0.854,0.399,0.531,0.091,0.143
Tropospheric_ozone_formation,O3PR,36.686,2.791,0.966,0.956,0.190,0.331
Waste,WASTE,78.594,138.761,936.398,36.517,47.149,31.694
Sewage,SLP,5.845,26.188,6.346,2.545,1.053,1.695
Water_from_waterworks,PWS,2.866,-3.444,-0.665,0.034,0.216,0.087
Water_from_nature,SOWS,15.033,36.542,8.638,3.162,1.089,2.041